,signal
2019/6/7,0
2019/6/10,0
2019/6/11,0
2019/6/12,0
2019/6/13,0
2019/6/14,0
2019/6/17,0
2019/6/18,0
2019/6/19,0
2019/6/20,0
2019/6/21,0
2019/6/24,0
2019/6/25,0
2019/6/26,0
2019/6/27,0
2019/6/28,0
2019/6/30,0
2019/7/1,0
2019/7/2,0
2019/7/3,0
2019/7/4,0
2019/7/5,0
2019/7/8,0
2019/7/9,0
2019/7/10,0
2019/7/11,0
2019/7/12,-1
2019/7/15,-1
2019/7/16,-1
2019/7/17,-1
2019/7/18,-1
2019/7/19,-1
2019/7/20,-1
2019/7/22,-1
2019/7/23,-1
2019/7/24,-1
2019/7/25,-1
2019/7/26,-1
2019/7/29,-1
2019/7/30,-1
2019/7/31,-1
2019/8/1,0
2019/8/2,0
2019/8/5,0
2019/8/6,0
2019/8/7,0
2019/8/8,0
2019/8/9,-1
2019/8/10,-1
2019/8/12,-1
2019/8/13,-1
2019/8/14,-1
2019/8/15,-1
2019/8/16,-1
2019/8/19,-1
2019/8/20,-1
2019/8/21,-1
2019/8/22,-1
2019/8/23,0
2019/8/26,0
2019/8/27,0
2019/8/28,0
2019/8/29,0
2019/8/30,-1
2019/8/31,-1
2019/9/2,-1
2019/9/3,-1
2019/9/4,-1
2019/9/5,-1
2019/9/6,-1
2019/9/9,-1
2019/9/10,-1
2019/9/11,-1
2019/9/12,-1
2019/9/13,-1
2019/9/16,-1
2019/9/17,-1
2019/9/18,-1
2019/9/19,-1
2019/9/20,-1
2019/9/23,-1
2019/9/24,-1
2019/9/25,-1
2019/9/26,-1
2019/9/27,-1
2019/9/30,-1
2019/10/4,-1
2019/10/8,-1
2019/10/9,-1
2019/10/10,-1
2019/10/11,-1
2019/10/14,-1
2019/10/15,-1
2019/10/16,-1
2019/10/17,-1
2019/10/18,-1
2019/10/20,-1
2019/10/21,-1
2019/10/22,-1
2019/10/23,-1
2019/10/24,-1
2019/10/25,-1
2019/10/28,-1
2019/10/29,-1
2019/10/30,-1
2019/10/31,-1
2019/11/1,-1
2019/11/4,-1
2019/11/5,-1
2019/11/6,-1
2019/11/7,-1
2019/11/8,-1
2019/11/10,-1
2019/11/11,-1
2019/11/12,-1
2019/11/13,-1
2019/11/14,-1
2019/11/15,-1
2019/11/18,-1
2019/11/19,-1
2019/11/20,-1
2019/11/21,-1
2019/11/22,-1
2019/11/25,-1
2019/11/26,-1
2019/11/27,-1
2019/11/28,-1
2019/11/29,-1
2019/11/30,-1
2019/12/2,-1
2019/12/3,-1
2019/12/4,0
2019/12/5,0
2019/12/6,0
2019/12/9,0
2019/12/10,0
2019/12/11,0
2019/12/12,0
2019/12/13,0
2019/12/16,0
2019/12/17,0
2019/12/18,0
2019/12/19,0
2019/12/20,0
2019/12/23,0
2019/12/24,0
2019/12/25,0
2019/12/26,0
2019/12/27,0
2019/12/30,0
2019/12/31,0
2020/1/2,0
2020/1/3,0
2020/1/6,0
2020/1/7,0
2020/1/8,0
2020/1/9,0
2020/1/10,0
2020/1/13,0
2020/1/14,0
2020/1/15,0
2020/1/16,0
2020/1/17,0
2020/1/20,0
2020/1/21,0
2020/1/22,0
2020/1/23,0
2020/1/24,0
2020/1/31,0
2020/2/3,0
2020/2/4,0
2020/2/5,0
2020/2/6,0
2020/2/7,1
2020/2/10,1
2020/2/11,1
2020/2/12,1
2020/2/13,1
2020/2/14,1
2020/2/17,1
2020/2/18,1
2020/2/19,1
2020/2/20,1
2020/2/21,1
2020/2/24,1
2020/2/25,1
2020/2/26,1
2020/2/27,1
2020/2/28,1
2020/2/29,1
2020/3/2,1
2020/3/3,1
2020/3/4,1
2020/3/5,1
2020/3/6,1
2020/3/9,1
2020/3/10,1
2020/3/11,1
2020/3/12,1
2020/3/13,0
2020/3/16,0
2020/3/17,0
2020/3/18,0
2020/3/19,0
2020/3/20,0
2020/3/23,0
2020/3/24,0
2020/3/25,0
2020/3/26,0
2020/3/27,0
2020/3/30,0
2020/3/31,0
2020/4/1,0
2020/4/2,0
2020/4/3,0
2020/4/7,0
2020/4/8,0
2020/4/9,0
2020/4/10,0
2020/4/13,0
2020/4/14,0
2020/4/15,0
2020/4/16,0
2020/4/17,-1
2020/4/20,-1
2020/4/21,-1
2020/4/22,-1
2020/4/23,-1
2020/4/24,-1
2020/4/27,-1
2020/4/28,-1
2020/4/29,-1
2020/4/30,-1
2020/5/1,-1
2020/5/6,-1
2020/5/7,-1
2020/5/8,-1
2020/5/10,-1
2020/5/11,-1
2020/5/12,-1
2020/5/13,-1
2020/5/14,-1
2020/5/15,-1
2020/5/18,-1
2020/5/19,-1
2020/5/20,-1
2020/5/21,-1
2020/5/22,-1
2020/5/25,-1
2020/5/26,-1
2020/5/27,-1
2020/5/28,-1
2020/5/29,-1
2020/5/31,-1
2020/6/1,-1
2020/6/2,-1
2020/6/3,-1
2020/6/4,-1
2020/6/5,0
2020/6/8,0
2020/6/9,0
2020/6/10,0
2020/6/11,0
2020/6/12,0
2020/6/15,0
2020/6/16,0
2020/6/17,0
2020/6/18,0
2020/6/19,0
2020/6/20,0
2020/6/22,0
2020/6/23,0
2020/6/24,0
2020/6/26,0
2020/6/29,0
2020/6/30,0
2020/7/1,0
2020/7/2,0
2020/7/3,0
2020/7/6,0
2020/7/7,0
2020/7/8,0
2020/7/9,0
2020/7/10,0
2020/7/13,0
2020/7/14,0
2020/7/15,0
2020/7/16,0
2020/7/17,0
2020/7/20,0
2020/7/21,0
2020/7/22,0
2020/7/23,0
2020/7/24,0
2020/7/27,0
2020/7/28,0
2020/7/29,0
2020/7/30,0
2020/7/31,0
2020/8/3,0
2020/8/4,0
2020/8/5,0
2020/8/6,0
2020/8/7,-1
2020/8/10,-1
2020/8/11,-1
2020/8/12,-1
2020/8/13,0
2020/8/14,-1
2020/8/17,-1
2020/8/18,-1
2020/8/19,-1
2020/8/20,0
2020/8/21,-1
2020/8/24,-1
2020/8/25,-1
2020/8/26,-1
2020/8/27,-1
2020/8/28,0
2020/8/31,0
2020/9/1,0
2020/9/2,0
2020/9/3,0
2020/9/4,0
2020/9/7,0
2020/9/8,0
2020/9/9,0
2020/9/10,0
2020/9/11,0
2020/9/14,0
2020/9/15,0
2020/9/16,0
2020/9/17,0
2020/9/18,0
2020/9/20,0
2020/9/21,0
2020/9/22,0
2020/9/23,0
2020/9/24,0
2020/9/25,0
2020/9/28,0
2020/9/29,0
2020/9/30,0
2020/10/2,0
2020/10/9,-1
2020/10/10,-1
2020/10/12,-1
2020/10/13,-1
2020/10/14,-1
2020/10/15,-1
2020/10/16,1
2020/10/19,1
2020/10/20,1
2020/10/21,1
2020/10/22,1
2020/10/23,1
2020/10/26,1
2020/10/27,1
2020/10/28,1
2020/10/29,1
2020/10/30,1
2020/10/31,1
2020/11/2,1
2020/11/3,1
2020/11/4,1
2020/11/5,1
2020/11/6,1
2020/11/9,1
2020/11/10,1
2020/11/11,1
2020/11/12,1
2020/11/13,1
2020/11/16,1
2020/11/17,1
2020/11/18,1
2020/11/19,1
2020/11/20,1
2020/11/23,1
2020/11/24,1
2020/11/25,1
2020/11/26,0
2020/11/27,1
2020/11/30,1
2020/12/1,1
2020/12/2,1
2020/12/3,1
2020/12/4,1
2020/12/7,1
2020/12/8,1
2020/12/9,1
2020/12/10,1
2020/12/11,1
2020/12/14,1
2020/12/15,1
2020/12/16,1
2020/12/17,1
2020/12/18,1
2020/12/20,1
2020/12/21,1
2020/12/22,1
2020/12/23,1
2020/12/24,1
2020/12/25,1
2020/12/28,1
2020/12/29,1
2020/12/30,1
2020/12/31,1
2021/1/1,1
2021/1/4,1
2021/1/5,1
2021/1/6,1
2021/1/7,1
2021/1/8,1
2021/1/10,1
2021/1/11,1
2021/1/12,1
2021/1/13,1
2021/1/14,1
2021/1/15,1
2021/1/18,1
2021/1/19,1
2021/1/20,1
2021/1/21,1
2021/1/22,1
2021/1/25,1
2021/1/26,1
2021/1/27,1
2021/1/28,0
2021/1/29,1
2021/1/31,1
2021/2/1,1
2021/2/2,1
2021/2/3,1
2021/2/4,1
2021/2/5,1
2021/2/8,1
2021/2/9,1
2021/2/10,1
2021/2/12,0
2021/2/18,0
2021/2/19,-1
2021/2/20,-1
2021/2/22,-1
2021/2/23,-1
2021/2/24,-1
2021/2/25,-1
2021/2/26,1
2021/2/28,1
2021/3/1,1
2021/3/2,1
2021/3/3,1
2021/3/4,1
2021/3/5,0
2021/3/8,0
2021/3/9,0
2021/3/10,0
2021/3/11,0
2021/3/12,0
2021/3/15,0
2021/3/16,0
2021/3/17,0
2021/3/18,0
2021/3/19,0
2021/3/20,0
2021/3/22,0
2021/3/23,0
2021/3/24,0
2021/3/25,0
2021/3/26,0
2021/3/29,0
2021/3/30,0
2021/3/31,0
2021/4/1,0
2021/4/2,0
2021/4/6,0
2021/4/7,0
2021/4/8,0
2021/4/9,0
2021/4/10,0
2021/4/12,0
2021/4/13,0
2021/4/14,0
2021/4/15,0
2021/4/16,1
2021/4/19,1
2021/4/20,1
2021/4/21,1
2021/4/22,1
2021/4/23,1
2021/4/26,1
2021/4/27,1
2021/4/28,1
2021/4/29,1
2021/4/30,1
2021/5/6,1
2021/5/7,1
2021/5/10,1
2021/5/11,1
2021/5/12,1
2021/5/13,1
2021/5/14,1
2021/5/17,1
2021/5/18,1
2021/5/19,1
2021/5/20,1
2021/5/21,1
2021/5/24,1
2021/5/25,1
2021/5/26,1
2021/5/27,1
2021/5/28,1
2021/5/31,1
2021/6/1,1
2021/6/2,1
2021/6/3,1
2021/6/4,1
2021/6/7,1
2021/6/8,1
2021/6/9,1
2021/6/10,1
2021/6/11,1
2021/6/15,1
2021/6/16,1
2021/6/17,1
2021/6/18,1
2021/6/20,1
2021/6/21,1
2021/6/22,1
2021/6/23,1
2021/6/24,1
2021/6/25,0
2021/6/28,0
2021/6/29,0
2021/6/30,0
2021/7/1,0
2021/7/2,1
2021/7/5,1
2021/7/6,1
2021/7/7,1
2021/7/8,1
2021/7/9,1
2021/7/10,1
2021/7/12,1
2021/7/13,1
2021/7/14,1
2021/7/15,1
2021/7/16,1
2021/7/19,1
2021/7/20,1
2021/7/21,1
2021/7/22,1
2021/7/23,0
2021/7/26,0
2021/7/27,0
2021/7/28,0
2021/7/29,0
2021/7/30,0
2021/7/31,0
2021/8/2,0
2021/8/3,0
2021/8/4,0
2021/8/5,0
2021/8/6,0
2021/8/9,0
2021/8/10,0
2021/8/11,0
2021/8/12,0
2021/8/13,0
2021/8/16,0
2021/8/17,0
2021/8/18,0
2021/8/19,0
2021/8/20,0
2021/8/23,0
2021/8/24,0
2021/8/25,0
2021/8/26,0
2021/8/27,0
2021/8/30,0
2021/8/31,0
2021/9/1,0
2021/9/2,0
2021/9/3,0
2021/9/6,0
2021/9/7,0
2021/9/8,0
2021/9/9,0
2021/9/10,0
2021/9/13,0
2021/9/14,0
2021/9/15,0
2021/9/16,0
2021/9/17,0
2021/9/20,0
2021/9/22,0
2021/9/23,0
2021/9/24,0
2021/9/27,0
2021/9/28,0
2021/9/29,0
2021/9/30,0
2021/10/1,0
2021/10/8,0
2021/10/10,0
2021/10/11,0
2021/10/12,0
2021/10/13,0
2021/10/14,0
2021/10/15,-1
2021/10/18,-1
2021/10/19,-1
2021/10/20,-1
2021/10/21,-1
2021/10/22,0
2021/10/25,0
2021/10/26,0
2021/10/27,0
2021/10/28,0
2021/10/29,0
2021/10/31,0
2021/11/1,0
2021/11/2,0
2021/11/3,0
2021/11/4,0
2021/11/5,0
2021/11/8,0
2021/11/9,0
2021/11/10,0
2021/11/11,0
2021/11/12,-1
2021/11/15,-1
2021/11/16,-1
2021/11/17,-1
2021/11/18,-1
2021/11/19,-1
2021/11/20,-1
2021/11/22,-1
2021/11/23,-1
2021/11/24,-1
2021/11/25,-1
2021/11/26,-1
2021/11/29,-1
2021/11/30,-1
2021/12/1,-1
2021/12/2,-1
2021/12/3,-1
2021/12/6,-1
2021/12/7,-1
2021/12/8,-1
2021/12/9,-1
2021/12/10,-1
2021/12/13,-1
2021/12/14,-1
2021/12/15,-1
2021/12/16,-1
2021/12/17,-1
2021/12/20,-1
2021/12/21,-1
2021/12/22,-1
2021/12/23,-1
2021/12/24,-1
